MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
3.0	39	8.664928247605642	0.000000000000000	11.094625832408390	0.000000000000000	13.540719376902280	0.000000000000000	17.535229622943710	0.000000000000000	22.178064953917590	0.000000000000000	29.958757159425760	0.000000000000000	42.119350512566350	0.000000000000000	71.975866100009820	0.000000000000000	515.540468765492800	0.000000000000000	909.840884185500000	0.000000000000000	934.081508054651400	0.000000000000000	946.259634926380600	0.000000000000000	945.571169442387200	0.000000000000000	944.434119614432200	0.000000000000000	945.770607064912000	0.000000000000000	943.619587129537000	0.000000000000000	935.540427307576800	0.000000000000000	914.823787304131400	0.000000000000000	560.505337384336600	0.000000000000000	72.780772541352600	0.000000000000000	41.673728314880110	0.000000000000000	30.329339922520010	0.000000000000000	22.721506976328630	0.000000000000000	17.569372134622250	0.000000000000000	13.528308197211292	0.000000000000000	10.634529255569924	0.000000000000000	8.849815760284566
2.5	38	0.000000000000000	9.776283928915812	0.000000000000000	12.573284945076110	0.000000000000000	15.761847880922300	0.000000000000000	20.325071594260420	0.000000000000000	26.937967545755780	0.000000000000000	36.815278680338740	0.000000000000000	54.821556156551620	0.000000000000000	136.560587666255000	0.000000000000000	867.020802660275600	0.000000000000000	926.754340422145000	0.000000000000000	937.548119675999200	0.000000000000000	942.583598457396600	0.000000000000000	939.490670469029800	0.000000000000000	941.176496320061600	0.000000000000000	941.460559729341000	0.000000000000000	939.041878584481800	0.000000000000000	927.910825943777400	0.000000000000000	874.698708883672800	0.000000000000000	139.901640123406700	0.000000000000000	54.963293538877580	0.000000000000000	36.809005554378140	0.000000000000000	26.589867625463020	0.000000000000000	20.603157886242510	0.000000000000000	15.693568799475034	0.000000000000000	12.723745575114176	0.000000000000000	9.863489677805152	0.000000000000000
2.0	37	9.018015001036596	0.000000000000000	11.326548506207400	0.000000000000000	14.275090225334190	0.000000000000000	18.303170593680030	0.000000000000000	23.847100603879370	0.000000000000000	31.635491354933780	0.000000000000000	44.268672972778430	0.000000000000000	74.878477203988180	0.000000000000000	520.135169474771600	0.000000000000000	918.971324036081400	0.000000000000000	936.635716329938400	0.000000000000000	945.863987210537800	0.000000000000000	947.513509714758600	0.000000000000000	947.898983142556200	0.000000000000000	943.326445818831400	0.000000000000000	945.929531508807200	0.000000000000000	940.175238100902200	0.000000000000000	916.740663726925200	0.000000000000000	568.939810741031400	0.000000000000000	76.831705360114480	0.000000000000000	44.673394001079170	0.000000000000000	31.477590767301340	0.000000000000000	24.084892874007340	0.000000000000000	18.332279620547290	0.000000000000000	14.176685010414582	0.000000000000000	11.389407011632932	0.000000000000000	9.065573598031498
1.5	36	0.000000000000000	10.191143643609188	0.000000000000000	13.018604876288436	0.000000000000000	16.232236784984270	0.000000000000000	21.141808307531870	0.000000000000000	28.091454606839900	0.000000000000000	38.030623496460000	0.000000000000000	56.737073194129420	0.000000000000000	137.151680242135000	0.000000000000000	870.832537113779400	0.000000000000000	926.814351586095800	0.000000000000000	940.411709383222600	0.000000000000000	941.469845738742000	0.000000000000000	938.524809181985200	0.000000000000000	938.722689917872200	0.000000000000000	940.664034801991000	0.000000000000000	938.662840908751600	0.000000000000000	928.277375196519000	0.000000000000000	874.282768554552800	0.000000000000000	139.255672622514700	0.000000000000000	56.721757772418260	0.000000000000000	38.064375606939380	0.000000000000000	27.894737353932520	0.000000000000000	21.372673899872820	0.000000000000000	16.613205164499440	0.000000000000000	12.904161616496084	0.000000000000000	10.284984465923722	0.000000000000000
1.0	35	9.138790992380886	0.000000000000000	11.569571519896906	0.000000000000000	14.642159666813534	0.000000000000000	18.862420189896000	0.000000000000000	24.317459427065650	0.000000000000000	32.805477024771670	0.000000000000000	44.978642854700460	0.000000000000000	76.892069987257780	0.000000000000000	536.461222571276200	0.000000000000000	915.256043905082800	0.000000000000000	938.102311808571600	0.000000000000000	941.837939921070000	0.000000000000000	943.447144501078400	0.000000000000000	940.109179965233400	0.000000000000000	944.313444970292000	0.000000000000000	940.263780774567200	0.000000000000000	936.912373935637600	0.000000000000000	915.141007000210400	0.000000000000000	559.228137226746400	0.000000000000000	77.004258534719120	0.000000000000000	44.772705466115390	0.000000000000000	32.395175048818010	0.000000000000000	24.424110626748080	0.000000000000000	18.763275049096300	0.000000000000000	14.610370853027960	0.000000000000000	11.725430369616200	0.000000000000000	9.289442483364858
0.5	34	0.000000000000000	10.291450488870470	0.000000000000000	12.954002801134778	0.000000000000000	16.722379167160860	0.000000000000000	21.395048524238270	0.000000000000000	28.521640965952280	0.000000000000000	38.992056074739350	0.000000000000000	57.651156753030860	0.000000000000000	141.722341884848900	0.000000000000000	871.830084976568400	0.000000000000000	928.322582635884000	0.000000000000000	939.287650710648400	0.000000000000000	937.424555283709800	0.000000000000000	938.031111998548200	0.000000000000000	936.040930193952200	0.000000000000000	934.843573896534000	0.000000000000000	937.442589262051200	0.000000000000000	930.328211432981200	0.000000000000000	875.916522079940800	0.000000000000000	142.335555879085000	0.000000000000000	58.148146804414100	0.000000000000000	38.691391131664670	0.000000000000000	28.411131964603800	0.000000000000000	21.626635323661760	0.000000000000000	16.673506867369920	0.000000000000000	13.224320539748044	0.000000000000000	10.441258523950780	0.000000000000000
0.0	33	9.108887915519576	0.000000000000000	11.479727205359124	0.000000000000000	14.715360152216372	0.000000000000000	18.572808642326440	0.000000000000000	24.600632257584390	0.000000000000000	32.448250601193050	0.000000000000000	45.958147843327080	0.000000000000000	77.204780554347160	0.000000000000000	540.418557617934200	0.000000000000000	920.319298314957600	0.000000000000000	938.359869582093400	0.000000000000000	940.848355845909200	0.000000000000000	942.503479690093200	0.000000000000000	941.774996162456600	0.000000000000000	943.304858266630200	0.000000000000000	939.137058020910400	0.000000000000000	939.890085812632000	0.000000000000000	917.545986954889200	0.000000000000000	556.877882647055600	0.000000000000000	77.662957330584500	0.000000000000000	45.791792889563660	0.000000000000000	31.635102456751920	0.000000000000000	24.964649735552580	0.000000000000000	18.980320896640870	0.000000000000000	14.916149159474430	0.000000000000000	11.775204817047840	0.000000000000000	9.340137961654608
-0.5	32	0.000000000000000	10.210929441017160	0.000000000000000	13.089596508047234	0.000000000000000	16.756768353400800	0.000000000000000	21.243435562992850	0.000000000000000	28.475070076785050	0.000000000000000	38.868920827369180	0.000000000000000	56.867135707364900	0.000000000000000	138.032532890255200	0.000000000000000	873.711332110428200	0.000000000000000	926.954239964002800	0.000000000000000	933.397960951005200	0.000000000000000	937.438632237711600	0.000000000000000	937.312396294617800	0.000000000000000	939.917622311091600	0.000000000000000	935.996288846018000	0.000000000000000	938.376882697706800	0.000000000000000	928.433676330021600	0.000000000000000	872.958851317851000	0.000000000000000	139.911513261823000	0.000000000000000	58.029793950641920	0.000000000000000	38.900474202400550	0.000000000000000	28.631662274194560	0.000000000000000	21.722035998330610	0.000000000000000	16.736518212184600	0.000000000000000	13.054481957091000	0.000000000000000	10.365853248334998	0.000000000000000
-1.0	31	9.026777411645242	0.000000000000000	11.535409015068398	0.000000000000000	14.391250926032214	0.000000000000000	18.570210735447760	0.000000000000000	24.167095495474250	0.000000000000000	32.218963300586870	0.000000000000000	45.031454594284180	0.000000000000000	76.831043061268360	0.000000000000000	550.881447207638600	0.000000000000000	913.892403851653000	0.000000000000000	934.256702544397600	0.000000000000000	944.737162060010600	0.000000000000000	941.274173901877600	0.000000000000000	942.762617308991400	0.000000000000000	940.448204992640000	0.000000000000000	940.785677632061400	0.000000000000000	943.994134906918800	0.000000000000000	917.726011704225400	0.000000000000000	549.307910629721400	0.000000000000000	75.515979929723600	0.000000000000000	45.135602172975360	0.000000000000000	32.353372551463060	0.000000000000000	24.439782157581410	0.000000000000000	18.618657191777220	0.000000000000000	14.641967249890140	0.000000000000000	11.884419987106366	0.000000000000000	9.302471804023950
-1.5	30	0.000000000000000	10.190436326902128	0.000000000000000	12.953695862129838	0.000000000000000	16.338690241675500	0.000000000000000	20.963968429195860	0.000000000000000	27.629173358608900	0.000000000000000	38.047066843301360	0.000000000000000	56.742764561152920	0.000000000000000	138.841656219145900	0.000000000000000	871.234481708602200	0.000000000000000	917.732046186528200	0.000000000000000	934.841114967098200	0.000000000000000	941.008593898778000	0.000000000000000	938.336951657374400	0.000000000000000	941.874701253631200	0.000000000000000	939.329833286852400	0.000000000000000	938.776387398860400	0.000000000000000	926.721445952976200	0.000000000000000	871.897545256038800	0.000000000000000	134.059734980746500	0.000000000000000	56.040033854811440	0.000000000000000	37.736285561770920	0.000000000000000	27.705371131597750	0.000000000000000	21.016246797083930	0.000000000000000	15.892912093099016	0.000000000000000	12.747583612950358	0.000000000000000	10.153731207561710	0.000000000000000
-2.0	29	8.997730570768670	0.000000000000000	11.248165049098026	0.000000000000000	14.201531173678956	0.000000000000000	18.083348685147180	0.000000000000000	23.338451614221710	0.000000000000000	30.936562123775750	0.000000000000000	43.374402135750680	0.000000000000000	74.136532705291400	0.000000000000000	550.166280747037600	0.000000000000000	909.954304767734600	0.000000000000000	931.569321035275000	0.000000000000000	939.957371777699000	0.000000000000000	943.832852577947600	0.000000000000000	944.016491110142800	0.000000000000000	940.391345581098200	0.000000000000000	943.160536770188200	0.000000000000000	939.364919160685200	0.000000000000000	912.382632830855800	0.000000000000000	521.848596681835400	0.000000000000000	73.569458653736900	0.000000000000000	43.355289608045970	0.000000000000000	30.883106718411390	0.000000000000000	23.406318193974950	0.000000000000000	18.232423249289240	0.000000000000000	14.395810277446940	0.000000000000000	11.259104477034730	0.000000000000000	9.142312033042206
-2.5	28	0.000000000000000	9.723350750750292	0.000000000000000	12.331685820246382	0.000000000000000	15.506003873846612	0.000000000000000	19.918263891513500	0.000000000000000	26.392940620705060	0.000000000000000	36.010570901231790	0.000000000000000	53.955346885214300	0.000000000000000	135.346134016525500	0.000000000000000	863.744117386164800	0.000000000000000	918.594791483759400	0.000000000000000	932.325775518363600	0.000000000000000	935.553327174617200	0.000000000000000	940.065460743851000	0.000000000000000	937.112332247246200	0.000000000000000	940.535584677798000	0.000000000000000	933.487759870194000	0.000000000000000	925.187207717418200	0.000000000000000	865.550330862559200	0.000000000000000	131.108398804497600	0.000000000000000	53.397417663812720	0.000000000000000	35.953851614385420	0.000000000000000	26.712974041573060	0.000000000000000	19.903935712327970	0.000000000000000	15.597215627078238	0.000000000000000	12.411893205736736	0.000000000000000	9.851603694932580	0.000000000000000
-3.0	27	8.382675735635290	0.000000000000000	10.691686723047310	0.000000000000000	13.435990512901242	0.000000000000000	16.814408336725440	0.000000000000000	22.307163241731410	0.000000000000000	29.393393452335420	0.000000000000000	40.571819855296070	0.000000000000000	69.252356412654860	0.000000000000000	537.254837781351400	0.000000000000000	903.021064518961800	0.000000000000000	927.663859175236400	0.000000000000000	934.474031915748000	0.000000000000000	940.482356135633000	0.000000000000000	941.220201501609600	0.000000000000000	940.501319495580600	0.000000000000000	938.927679697553400	0.000000000000000	929.337973811639200	0.000000000000000	903.866330298311000	0.000000000000000	515.039894276139800	0.000000000000000	70.415673407698000	0.000000000000000	40.560468515331550	0.000000000000000	29.285345047063870	0.000000000000000	21.934798001996320	0.000000000000000	17.114668532284570	0.000000000000000	13.590314857230724	0.000000000000000	10.679232281204122	0.000000000000000	8.744488884252674
-3.5	26	0.000000000000000	9.363278965601368	0.000000000000000	11.609719909442606	0.000000000000000	14.334722585389854	0.000000000000000	18.617132056533640	0.000000000000000	24.649529481006100	0.000000000000000	33.011447681501720	0.000000000000000	48.916566774384160	0.000000000000000	128.905855936192800	0.000000000000000	854.431228570600800	0.000000000000000	906.415663385579800	0.000000000000000	917.397449482704800	0.000000000000000	925.425583724403200	0.000000000000000	928.667433765934400	0.000000000000000	929.968439962620800	0.000000000000000	925.444394930403200	0.000000000000000	918.823106392215000	0.000000000000000	907.212720494224000	0.000000000000000	852.483405397470400	0.000000000000000	122.141095409544600	0.000000000000000	48.862063268296360	0.000000000000000	33.124054406566050	0.000000000000000	24.592612601863340	0.000000000000000	18.626093942476420	0.000000000000000	14.719657322160710	0.000000000000000	11.488967443355882	0.000000000000000	9.259922008539718	0.000000000000000
-4.0	25	7.895693454394384	0.000000000000000	9.695359783901508	0.000000000000000	12.423254792770672	0.000000000000000	15.453307752156884	0.000000000000000	20.168902303952700	0.000000000000000	25.726172861300400	0.000000000000000	36.071339347703840	0.000000000000000	61.691193169773000	0.000000000000000	535.653429339942600	0.000000000000000	878.282244216675200	0.000000000000000	897.757276301592000	0.000000000000000	910.945721606576000	0.000000000000000	911.297752636277800	0.000000000000000	915.097270685096000	0.000000000000000	913.385611764663800	0.000000000000000	909.936670356082600	0.000000000000000	901.603929109814000	0.000000000000000	880.661465169643200	0.000000000000000	502.321079126292800	0.000000000000000	61.507899109721040	0.000000000000000	35.451464425657120	0.000000000000000	26.689326369489970	0.000000000000000	20.326607630742130	0.000000000000000	15.459807831824942	0.000000000000000	12.447995994074968	0.000000000000000	9.992908157158402	0.000000000000000	8.038785765697760
-4.5	24	0.000000000000000	8.431783742481246	0.000000000000000	10.466263611332818	0.000000000000000	13.222604413186472	0.000000000000000	16.627060161596010	0.000000000000000	21.703887566750750	0.000000000000000	28.207695524600670	0.000000000000000	41.245217877093730	0.000000000000000	106.808946075509420	0.000000000000000	789.166523217180600	0.000000000000000	830.384412359805000	0.000000000000000	838.565070790449200	0.000000000000000	845.140822272172400	0.000000000000000	853.071190651801000	0.000000000000000	849.796734194931800	0.000000000000000	850.368788832051800	0.000000000000000	843.770282072154600	0.000000000000000	832.958203385983400	0.000000000000000	794.410292466306800	0.000000000000000	105.612409145499180	0.000000000000000	41.155454819390820	0.000000000000000	28.525830954038430	0.000000000000000	21.666705283572840	0.000000000000000	16.812716205815570	0.000000000000000	13.160800986698238	0.000000000000000	10.323647129669164	0.000000000000000	8.348266223931810	0.000000000000000
